Query_id	Query ASIN	Description	Product Title
PSRT_Recs_019	B001F0IB4G	archery release aid	Spot Hogg Archery Saturday Night Special Right Hand Release
PSRT_Recs_020	B00R1FOAKI	Kids water bottle (12 oz) with OTF lid	Nalgene Kids OTF Bottle, Blue, 12 oz
PSRT_Recs_021	B079NYQQJJ	AM4 microATX motherboard	GIGABYTE GA-A320M-S2H (AMD Ryzen AM4/MicroATX/2xDDR4/HDMI/Realtek ALC887/3xPCIe/USB3.1 Gen 1/LAN/Motherboard)
PSRT_Recs_022	B00144EMW8	marine pumpout adapter	SeaLand 1-1/2-Inch Nozall Pumpout Adapter
PSRT_Recs_023	B0711MVN1H	clipless pedal blade kit	LOOK Kéo 2 Max Blade 12 Sheets (Kit) Pedal - Black, One Size
PSRT_Recs_024	B00S6O1U4M	pendulum wall clock	Allen Designs P1468 Swinging Pendulum Clock Salty Seahorse Design 10.25 inches X 13 inches
PSRT_Recs_025	B07R3BR8VV	loading ramp ends kit	bROK Loading Ramp 8-inch kit Aluminum with Full Width scratchproof Pads. Custom Create ramps with Your Wood Planks to Load Lawn Tractors, ATVs, dolleys, wheelbarrows
PSRT_Recs_026	B07SBL6NC3	ATX power supply	SilverStone Technology 550 Watt ATX Power Supply 80 Plus Bronze with 100% Modular Cable Design ST55F-PB
PSRT_Recs_027	B0037PH2CY	component speaker system	Kenwood KFC-P710PS 560W Max (160W RMS) 6.5 Performance Series 2-Way Component Car Speakers
PSRT_Recs_028	B00BLYNYFW	kitchen towel	Garnier Thiebaut 100% two-ply twisted cotton Citron Kitchen Towel, 22 by 30-Inch, Zeste, Made in France
PSRT_Recs_029	B008NBUKYE	box sign (decor)	Primitives by Kathy Classic Box Sign, 5-Inch by 5-Inch, Karma Means
PSRT_Recs_030	B00F5UY9XE	macro ring light	YongNuo YN-14EX TTL Macro Ring Lite Flash Light for Canon EOS DLSR Camera
PSRT_Recs_031	B0006FKJU0	watch capacitor	Seiko Kinetic Capacitor 3023-5MZ
PSRT_Recs_032	B076VX1WJ6	7.9-inch Wi‑Fi tablet (iPad mini 4) 32GB (Renewed)	Apple iPad Mini 4, 32GB, Space Gray - WiFi (Renewed)
PSRT_Recs_033	B07KDFH916	4K streaming media player	Roku 4661RW Ultra Streaming Player, 2018 with JBL Headphones
PSRT_Recs_034	B01BLQT7DM	smartwatch	Garmin Vivoactive HR GPS Smart Watch, WW, Regular Fit - Black
PSRT_Recs_035	B019RNQHLQ	fork‑mount bike rack	Thule 516XT Prologue Fork Mount Carrier Rack, Black, One Size
PSRT_Recs_036	B013RC14PW	Nintento 3DS	New Nintendo 3DS XL - Black (Renewed)
PSRT_Recs_037	B00OMA3TFC	wireless foot switch	Power-Pole Wireless Foot Switch Standard (CM) (White, CM1.0)
PSRT_Recs_038	B00I4R8K1W	copper tumbler cups	HealthGoodsIn - Pure Copper (99.74%) Tumbler Set of 2 | Traveller's Copper Glass for Serving Water | 350 Ml (11.8 US Fluid Ounce) Capacity
PSRT_Recs_039	B0006FRKLG	slingshot	Marksman Classic II Slingshot Black/Yellow, Small
PSRT_Recs_040	B0006FV8UK	water pillow	CHIROFLOW PILLOW
PSRT_Recs_041	B0006HLJEI	coffee maker replacement carafe	Mr. Coffee PLD12-2 MR. COFFEE 12-Cup Replacement Decanter
PSRT_Recs_042	B0006HVVFK	buckwheat pillow	Beans72 Organic Buckwheat Pillow - Japanese Size (14 inches x 20 inches)
PSRT_Recs_043	B0006I0HJ0	wall‑mounted bottle opener	Guinness Wall Mounted Bottle Opener - Metal Bottle Cap Remover for Bar or Kitchen (Black)
PSRT_Recs_044	B0006IPZH4	packet organizer basket	ClosetMaid 3937 Packet Pal, White
PSRT_Recs_045	B0006LB1M4	roasting rack	Danesco Roasting Rack - Oval - 6x9 Inch - Non-stick
PSRT_Recs_046	B0006LBG1K	dinner plate	Wedgwood Nantucket 10-3/4-Inch Dinner Plate
PSRT_Recs_047	B0006NII9G	ironing board replacement cover	Ironing Board Cover Replacement by Hafele
PSRT_Recs_048	B0006NIM1U	appliance garage	Corner Appliance Garage Maple
PSRT_Recs_049	B0006NNKGC	cabinet door waste bin	Knape & Vogt White 13 in. H x 10 in. W x 7 in. D Plastic in-Cabinet Door Mount Trash Can
PSRT_Recs_050	B0006PUDQK	energy‑saving surge protector	Bits Limited LCG-3MVR Energy Saving Surge Protector with Autoswitching Technology, 10-Outlet
